Year,Grade,Gender,GrGen,Public Speaking,The Dark,Animals,The Supernatural,Caregivers,Storms and Natural Disasters,Punishment and Discipline,Rejection and/or Failure,Heights,Disappointment,Anger,More Mature?,,,,,,,,
3,6,M,6M,2,0,0,0,0,2,1,1,2,0,0,No,,,,,,,,
3,6,F,6F,2,3,1,3,0,2,3,3,2,1,0,Yes,,,,,,,,
3,6,M,6M,1,1,2,0,0,2,1,2,0,2,2,No,,,,,,,,
3,6,F,6F,3,3,3,1,0,1,0,1,3,1,1,Yes,,,,,,,,
3,6,M,6M,2,1,2,0,0,1,0,2,3,1,2,No,,,,,,,,
3,6,F,6F,3,1,0,2,2,1,0,1,3,1,1,Yes,,,,,,,,
3,6,F,6F,2,1,3,3,0,2,3,3,3,0,3,Yes,,,,,,,,
3,6,F,6F,2,1,1,1,0,1,3,3,1,3,1,Yes,,,,,,,,
3,6,F,6F,3,2,0,0,0,1,2,3,1,1,2,Yes,,,,,,,,
3,6,M,6M,1,2,0,2,0,3,3,3,0,1,1,Yes,,,,,,,,
3,6,F,6F,2,1,0,0,2,1,3,2,0,2,2,Yes,,,,,,,,
3,6,F,6F,1,2,1,2,0,0,0,2,3,2,0,Yes,,,,,,,,
3,6,M,6M,0,1,2,0,0,1,1,0,0,1,0,Yes,,,,,,,,
3,6,M,6M,1,2,0,0,0,0,0,1,0,0,0,No,,,,,,,,
3,4,F,4F,3,2,0,2,1,0,1,2,3,1,0,No,,,,,,,,
3,4,M,4M,0,1,0,0,0,0,1,3,3,3,0,Yes,,,,,,,,
3,4,F,4F,1,1,1,0,0,0,1,3,2,2,0,Yes,,,,,,,,
3,4,M,4M,0,2,3,0,3,1,2,1,0,1,2,No,,,,,,,,
3,4,M,4M,0,0,1,0,1,,1,0,0,0,0,Yes,,,,,,,,
3,4,F,4F,2,2,1,0,1,2,1,0,1,0,0,Yes,,,,,,,,
3,4,F,4F,1,1,0,0,1,2,3,3,0,1,2,Yes,,,,,,,,
3,4,F,4F,1,2,1,2,1,0,0,2,0,0,0,Yes,,,,,,,,
3,4,M,4M,0,1,0,0,0,0,0,0,1,0,1,No,,,,,,,,
3,4,M,4M,1,1,1,2,0,2,2,1,3,1,1,No,,,,,,,,
3,4,M,4M,2,3,1,3,2,1,1,0,3,0,3,Yes,,,,,,,,
3,4,M,4M,1,0,1,0,0,1,0,0,0,0,1,No,,,,,,,,
3,4,F,4F,2,1,0,3,3,0,2,3,0,0,1,No,,,,,,,,
3,4,M,4M,3,0,0,1,1,1,1,3,0,3,3,No,,,,,,,,
3,4,F,4F,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,,,,
3,4,F,4F,1,0,1,0,0,1,1,1,0,0,0,No,,,,,,,,
3,4,M,4M,1,0,1,0,0,0,0,0,0,0,0,No,,,,,,,,
3,4,F,4F,1,0,0,0,0,0,1,2,0,1,1,Yes,,,,,,,,
3,4,F,4F,1,0,1,0,0,2,3,2,0,1,2,Yes,,,,,,,,
3,4,M,4M,1,2,1,3,2,0,0,1,3,0,2,Yes,,,,,,,,
3,4,M,4M,1,0,0,0,2,0,1,2,0,1,2,Yes,,,,,,,,
3,4,F,4F,1,1,0,0,1,1,0,0,3,0,0,Yes,,,,,,,,
3,4,F,4F,1,0,1,0,0,0,2,0,2,0,1,Yes,,,,,,,,
3,4,M,4M,0,1,1,1,0,0,0,0,0,0,0,Yes,,,,,,,,
3,4,M,4M,2,2,1,0,1,2,3,1,2,2,3,No,,,,,,,,
3,4,M,4M,0,0,1,0,0,0,0,0,0,0,0,Yes,,,,,,,,
3,4,F,4F,2,1,1,1,3,1,3,3,0,3,1,Yes,,,,,,,,
3,4,F,4F,2,1,0,1,2,0,0,0,0,0,0,Yes,,,,,,,,
3,4,F,4F,1,2,1,2,1,1,0,0,2,0,0,Yes,,,,,,,,
3,4,M,4M,0,3,0,1,0,3,1,0,2,0,0,No,,,,,,,,
3,4,M,4M,2,0,3,1,1,3,2,1,3,0,0,Yes,,,,,,,,
3,4,M,4M,1,0,0,0,1,1,0,2,3,0,0,No,,,,,,,,
